height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
8.9500 274.6019 0.0000 -37.2709 0.0000 0.0424 0.5631 0.0000 0.0000 0.0000 0.0000 1.2936 0.0000 236.0291 236.0291
9.0500 270.6336 0.0000 -37.9772 0.0000 0.0412 0.5314 0.0000 0.0000 0.0000 0.0000 1.2948 0.0000 235.3228 235.3228
9.1500 266.6654 0.0000 -38.6836 0.0000 0.0401 0.5013 0.0000 0.0000 0.0000 0.0000 1.2960 0.0000 234.6164 234.6164
9.2500 262.6971 0.0000 -39.3899 0.0000 0.0389 0.4728 0.0000 0.0000 0.0000 0.0000 1.2972 0.0000 233.9101 233.9101
9.3500 258.7289 0.0000 -40.0963 0.0000 0.0378 0.4457 0.0000 0.0000 0.0000 0.0000 1.2984 0.0000 233.2037 233.2037
9.4500 254.7606 0.0000 -40.8026 0.0000 0.0366 0.4201 0.0000 0.0000 0.0000 0.0000 1.2996 0.0000 232.4974 232.4974
9.5500 250.7924 0.0000 -41.5090 0.0000 0.0354 0.3959 0.0000 0.0000 0.0000 0.0000 1.3008 0.0000 231.7910 231.7910
9.6500 247.1700 0.0000 -42.1934 0.0000 0.0353 0.3733 0.0000 0.0000 0.0000 0.0000 1.3020 0.0000 231.1066 231.1066
9.7500 243.6340 0.0000 -42.8723 0.0000 0.0353 0.3519 0.0000 0.0000 0.0000 0.0000 1.3032 0.0000 230.4277 230.4277
9.8500 240.0979 0.0000 -43.5512 0.0000 0.0351 0.3317 0.0000 0.0000 0.0000 0.0000 1.3044 0.0000 229.7488 229.7488
9.9500 236.5618 0.0000 -44.2301 0.0000 0.0349 0.3126 0.0000 0.0000 0.0000 0.0000 1.3056 0.0000 229.0699 229.0699
10.0500 233.0258 0.0000 -44.9091 0.0000 0.0345 0.2944 0.0000 0.0000 0.0000 0.0000 1.3068 0.0000 228.3909 228.3909
10.1500 229.4897 0.0000 -45.5880 0.0000 0.0341 0.2773 0.0000 0.0000 0.0000 0.0000 1.3080 0.0000 227.7120 227.7120
10.2500 225.9536 0.0000 -46.2669 0.0000 0.0335 0.2610 0.0000 0.0000 0.0000 0.0000 1.3092 0.0000 227.0331 227.0331
10.3500 222.6380 0.0000 -46.9413 0.0000 0.0338 0.2456 0.0000 0.0000 0.0000 0.0000 1.3104 0.0000 226.3587 226.3587
10.4500 219.4039 0.0000 -47.6140 0.0000 0.0341 0.2309 0.0000 0.0000 0.0000 0.0000 1.3116 0.0000 225.6860 225.6860
10.5500 216.1697 0.0000 -48.2867 0.0000 0.0343 0.2170 0.0000 0.0000 0.0000 0.0000 1.3128 0.0000 225.0133 225.0133
10.6500 212.9356 0.0000 -48.9594 0.0000 0.0344 0.2039 0.0000 0.0000 0.0000 0.0000 1.3140 0.0000 224.3406 224.3406
10.7500 209.7014 0.0000 -49.6321 0.0000 0.0343 0.1915 0.0000 0.0000 0.0000 0.0000 1.3152 0.0000 223.6679 223.6679
10.8500 206.4673 0.0000 -50.3048 0.0000 0.0340 0.1799 0.0000 0.0000 0.0000 0.0000 1.3164 0.0000 222.9952 222.9952
10.9500 203.2331 0.0000 -50.9775 0.0000 0.0337 0.1688 0.0000 0.0000 0.0000 0.0000 1.3176 0.0000 222.3225 222.3225
11.0500 199.9991 0.0000 -51.6502 0.0000 0.0333 0.1585 0.0000 0.0000 0.0000 0.0000 1.3188 0.0000 221.6498 221.6498
11.1500 197.0819 0.0000 -52.1752 0.0000 0.0330 0.1511 0.0000 0.0000 0.0000 0.0000 1.3200 0.0000 221.1247 221.1247
11.2500 194.1647 0.0000 -52.7003 0.0000 0.0326 0.1440 0.0000 0.0000 0.0000 0.0000 1.3212 0.0000 220.5997 220.5997
11.3500 191.2476 0.0000 -53.2254 0.0000 0.0322 0.1372 0.0000 0.0000 0.0000 0.0000 1.3224 0.0000 220.0746 220.0746
11.4500 188.3305 0.0000 -53.7505 0.0000 0.0317 0.1308 0.0000 0.0000 0.0000 0.0000 1.3236 0.0000 219.5495 219.5495
11.5500 185.4133 0.0000 -54.2756 0.0000 0.0313 0.1246 0.0000 0.0000 0.0000 0.0000 1.3248 0.0000 219.0244 219.0244
11.6500 182.4962 0.0000 -54.8007 0.0000 0.0307 0.1187 0.0000 0.0000 0.0000 0.0000 1.3260 0.0000 218.4993 218.4993
11.7500 179.5790 0.0000 -55.3258 0.0000 0.0302 0.1131 0.0000 0.0000 0.0000 0.0000 1.3272 0.0000 217.9742 217.9742
